id,original_filename,stored_filename,file_size,file_path,duration,fps,is_referenced,uploaded_by,created_at,updated_at,model_analysis_exists
1,LAUNCHING_15_TVC_Optimize_컬리.mp4,e61620ca_LAUNCHING_15_TVC_Optimize_컬리.mp4,5976595,uploads\2026-04\e61620ca_LAUNCHING_15_TVC_Optimize_컬리.mp4,,,1,1,2026-04-05 08:09:30.556000,2026-04-23 01:22:03.684000,1
7,"배달의민족_브랜드 총출동, 할인 총동원! 배민푸드페스타 본.mp4",bb7d103d_배달의민족_브랜드_총출동__할인_총동원__배민푸드페스타_본.mp4,6353610,uploads\2026-04\bb7d103d_배달의민족_브랜드_총출동__할인_총동원__배민푸드페스타_본.mp4,,,1,2,2026-04-09 07:29:17.880000,2026-04-23 01:22:03.712000,1
8,"베나치오_더부룩한 속도, 답답한 속도, 꽉 막힌 속도, 베나치오!.mp4",d90b6fe3_베나치오_더부룩한_속도__답답한_속도__꽉_막힌_속도__베나치오_.mp4,5991016,uploads\2026-04\d90b6fe3_베나치오_더부룩한_속도__답답한_속도__꽉_막힌_속도__베나치오_.mp4,,,1,2,2026-04-09 07:29:22.339000,2026-04-29 08:36:56.590000,1
9,_금빛 땅 익산에서 찾은 한국의 맛!.mp4,838757fc__금빛_땅_익산에서_찾은_한국의_맛_.mp4,5065328,uploads\2026-04\838757fc__금빛_땅_익산에서_찾은_한국의_맛_.mp4,,,1,2,2026-04-09 07:29:26.330000,2026-04-23 01:22:03.740000,1
10,G마켓_민경훈 버즈량 폭발 예정.mp4,b54d6654_G마켓_민경훈_버즈량_폭발_예정.mp4,12167213,uploads\2026-04\b54d6654_G마켓_민경훈_버즈량_폭발_예정.mp4,,,1,2,2026-04-09 07:29:36.460000,2026-04-23 01:22:03.746000,1
11,"로보락_로봇, 청소기를 넘어서다 스마트리프팅 _ 30s.mp4",f3b3e906_로보락_로봇__청소기를_넘어서다_스마트리프팅___30s.mp4,12393711,uploads\2026-04\f3b3e906_로보락_로봇__청소기를_넘어서다_스마트리프팅___30s.mp4,,,1,2,2026-04-09 07:29:45.659000,2026-04-23 01:22:03.749000,1
12,르무통_르무통 브랜드데이 하루 특가.mp4,6d90550d_르무통_르무통_브랜드데이_하루_특가.mp4,6238286,uploads\2026-04\6d90550d_르무통_르무통_브랜드데이_하루_특가.mp4,,,1,2,2026-04-09 07:29:50.508000,2026-04-23 01:22:03.751000,1
13,"바디프랜드_콤팩트한 사이즈에 퍼펙트한 마사지 기술까지, 바디프랜드 팔콘 30초.mp4",65371a2e_바디프랜드_콤팩트한_사이즈에_퍼펙트한_마사지_기술까지__바디프랜드_팔콘_30초.mp4,11874846,uploads\2026-04\65371a2e_바디프랜드_콤팩트한_사이즈에_퍼펙트한_마사지_기술까지__바디프랜드_팔콘_30초.mp4,,,1,2,2026-04-09 07:29:58.429000,2026-04-23 01:22:03.753000,1
14,CJ대한통운 오네_무엇이든 매일매일 오네(O-NE)!.mp4,13798f72_CJ대한통운_오네_무엇이든_매일매일_오네_O-NE__.mp4,11360452,uploads\2026-04\13798f72_CJ대한통운_오네_무엇이든_매일매일_오네_O-NE__.mp4,,,1,3,2026-04-09 07:30:21.795000,2026-04-23 01:22:03.755000,1
15,"MG새마을금고_당신곁에, 마음을 안아주는 약속. MG새마을금고보험｜MG새마을금고 보험 15_.mp4",2adb5b3e_MG새마을금고_당신곁에__마음을_안아주는_약속__MG새마을금고보험_MG새마을금고_보험_15.mp4,5893832,uploads\2026-04\2adb5b3e_MG새마을금고_당신곁에__마음을_안아주는_약속__MG새마을금고보험_MG새마을금고_보험_15.mp4,,,1,3,2026-04-09 07:30:48.612000,2026-04-23 01:22:03.757000,1
